,company,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count
1,google,Program Manager,4.0,2.0,3.0,3.0,5.0,3.0,2094
2,google,Software Engineer III,5.0,5.0,4.0,5.0,5.0,4.0,949
4,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,49
5,google,SDE2,5.0,4.0,4.0,4.0,5.0,4.0,1
6,google,Software Engineer,5.0,5.0,4.0,4.0,5.0,4.0,0
13,google,Sales Operations Analyst,5.0,5.0,5.0,5.0,4.0,4.0,1
20,google,Designer,5.0,3.0,4.0,3.0,4.0,5.0,2
24,google,Staff Accountant,5.0,5.0,5.0,5.0,5.0,5.0,0
27,google,Program Manager I,5.0,5.0,5.0,5.0,5.0,5.0,3
31,google,Senior Director,3.0,4.0,5.0,5.0,5.0,5.0,0
33,google,Software Engineering Manager,4.0,5.0,5.0,4.0,4.0,4.0,0
34,google,Google Specialist,5.0,3.0,4.0,4.0,5.0,4.0,1
41,google,Staff Software Engineer,5.0,4.0,4.0,5.0,5.0,3.0,2
43,google,Program Manager,5.0,5.0,3.0,5.0,4.0,5.0,0
44,google,Software Engineer,5.0,5.0,5.0,4.0,4.0,4.0,0
46,google,Associate Account Strategist,5.0,4.0,4.0,5.0,5.0,2.0,0
52,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1
54,google,Software Engineer,5.0,5.0,5.0,5.0,4.0,4.0,2
55,google,Data Scientist,2.0,4.0,3.0,2.0,5.0,2.0,2
61,google,Software Engineer,5.0,5.0,5.0,4.0,5.0,4.0,0
65,google,Legal Specialist,4.0,5.0,5.0,3.0,5.0,4.0,0
68,google,Product Marketing Manager,5.0,4.0,5.0,5.0,5.0,4.0,0
73,google,Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0
75,google,Front End Engineer,5.0,4.0,5.0,5.0,5.0,4.0,0
81,google,Senior Software Engineer,4.0,5.0,4.0,4.0,4.0,4.0,1
84,google,Recruiter,3.0,1.0,3.0,5.0,5.0,2.0,1
86,google,Video,5.0,4.0,5.0,5.0,5.0,4.0,2
88,google,Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0
89,google,Product Marketing,5.0,3.0,3.0,4.0,5.0,4.0,0
90,google,Software Engineer,5.0,5.0,4.0,4.0,5.0,4.0,0
91,google,User Experience Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0
94,google,Administrative Business Partner,3.0,3.0,5.0,2.0,3.0,3.0,4
95,google,Senior Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0
99,google,Vice President Sales,4.0,5.0,5.0,3.0,5.0,4.0,0
103,google,Creative LEad,5.0,5.0,4.0,5.0,5.0,4.0,0
111,google,Senior Manager,5.0,5.0,5.0,5.0,5.0,4.0,0
117,google,Engineering Manager,5.0,5.0,5.0,4.0,5.0,5.0,0
118,google,Recruiter,4.0,2.0,2.0,3.0,3.0,3.0,0
119,google,Software Engineering Intern,5.0,5.0,5.0,4.0,5.0,4.0,5
124,google,Escalation Manager,1.0,2.0,2.0,1.0,5.0,1.0,4
130,google,Global Security Customer Service,4.0,4.0,4.0,3.0,4.0,4.0,0
131,google,Senior Software Engineer,4.0,4.0,4.0,5.0,5.0,3.0,0
137,google,Product Manager,3.0,2.0,3.0,3.0,4.0,2.0,2
138,google,Operations Manager,5.0,5.0,5.0,5.0,5.0,5.0,0
139,google,Intern,5.0,5.0,5.0,5.0,5.0,4.0,1
142,google,Operations Project Coordinator,5.0,4.0,5.0,4.0,3.0,5.0,0
